"","X.1","X","sex","vowel","stress","word","dur","pre_seg","fol_seg","speaker","community","class","point","word_count","pre_place","fol_place","F1","F2"
"1",1,1,"Female","AY",1,"hide",0.12,"HH","D",3,"Italian","LWC",2,2,"glottal","coronal",509.106,1180.335
"2",2,2,"Female","AY",1,"hide",0.12,"HH","D",3,"Italian","LWC",4,2,"glottal","coronal",497.987,1343.484
"3",3,3,"Female","IY",1,"seek",0.17,"S","K",3,"Italian","LWC",2,1,"coronal","dorsal",354.099,1380.57
"4",4,4,"Female","IY",1,"seek",0.17,"S","K",3,"Italian","LWC",4,1,"coronal","dorsal",357.405,1467.603
"5",5,5,"Female","EY",1,"basic",0.16,"B","S",3,"Italian","LWC",2,1,"labial","coronal",446.959,1252.713
"6",6,6,"Female","EY",1,"basic",0.16,"B","S",3,"Italian","LWC",4,1,"labial","coronal",366.36,1090.461
"7",7,7,"Female","AY",1,"bikes",0.23,"B","K",3,"Italian","LWC",2,1,"labial","dorsal",464.99,1176.746
"8",8,8,"Female","AY",1,"bikes",0.23,"B","K",3,"Italian","LWC",4,1,"labial","dorsal",496.003,1211.739
"9",9,9,"Female","UW",1,"do",0.06,"D","S",3,"Italian","LWC",2,15,"coronal","coronal",339.254,1211.589
"10",10,10,"Female","UW",1,"do",0.06,"D","S",3,"Italian","LWC",4,15,"coronal","coronal",337.751,1198.43
"11",11,11,"Female","AY",1,"design",0.14,"Z","N",3,"Italian","LWC",2,1,"coronal","coronal",432.895,1208.898
"12",12,12,"Female","AY",1,"design",0.14,"Z","N",3,"Italian","LWC",4,1,"coronal","coronal",486.807,1193.645
"13",13,13,"Female","AY",1,"eyes",0.29,"R","Z",3,"Italian","LWC",2,1,"coronal","coronal",483.622,1201.869
"14",14,14,"Female","AY",1,"eyes",0.29,"R","Z",3,"Italian","LWC",4,1,"coronal","coronal",469.017,1210.692
"15",15,15,"Female","AY",1,"hide",0.23,"HH","D",3,"Italian","LWC",2,2,"glottal","coronal",481.158,1189.158
"16",16,16,"Female","AY",1,"hide",0.23,"HH","D",3,"Italian","LWC",4,2,"glottal","coronal",495.342,1214.73
"17",17,17,"Female","EY",1,"say",0.1,"S","R",3,"Italian","LWC",2,8,"coronal","coronal",474.486,1363.822
"18",18,18,"Female","EY",1,"say",0.1,"S","R",3,"Italian","LWC",4,8,"coronal","coronal",454.712,1394.029
"19",21,21,"Female","UW",1,"do",0.09,"D","S",3,"Italian","LWC",2,15,"coronal","coronal",400.92,1521.438
"20",22,22,"Female","UW",1,"do",0.09,"D","S",3,"Italian","LWC",4,15,"coronal","coronal",396.772,1546.112
"21",27,27,"Female","IY",1,"really",0.06,"R","L",3,"Italian","LWC",2,6,"coronal","coronal",371.95,1359.635
"22",28,28,"Female","IY",1,"really",0.06,"R","L",3,"Italian","LWC",4,6,"coronal","coronal",379.222,1361.13
"23",31,31,"Female","EY",1,"again",0.09,"G","N",3,"Italian","LWC",2,3,"dorsal","coronal",341.057,1629.406
"24",32,32,"Female","EY",1,"again",0.09,"G","N",3,"Italian","LWC",4,3,"dorsal","coronal",388.418,1578.413
"25",33,33,"Female","EY",1,"a",0.05,"D","G",3,"Italian","LWC",2,16,"coronal","dorsal",378.08,1390.291
"26",34,34,"Female","EY",1,"a",0.05,"D","G",3,"Italian","LWC",4,16,"coronal","dorsal",375.496,1437.545
"27",35,35,"Female","UW",1,"hool",0.2,"HH","L",3,"Italian","LWC",2,1,"glottal","coronal",379.342,1205.01
"28",36,36,"Female","UW",1,"hool",0.2,"HH","L",3,"Italian","LWC",4,1,"glottal","coronal",361.071,1148.483
"29",37,37,"Female","AY",2,"crocodile",0.07,"D","L",3,"Italian","LWC",2,1,"coronal","coronal",373.332,1334.063
"30",38,38,"Female","AY",2,"crocodile",0.07,"D","L",3,"Italian","LWC",4,1,"coronal","coronal",467.995,1249.573
"31",39,39,"Female","EY",1,"face",0.1,"F","S",3,"Italian","LWC",2,2,"labial","coronal",469.257,1338.549
"32",40,40,"Female","EY",1,"face",0.1,"F","S",3,"Italian","LWC",4,2,"labial","coronal",406.149,1438.742
"33",43,43,"Female","UW",1,"move",0.06,"M","V",3,"Italian","LWC",2,1,"labial","labial",333.063,1084.33
"34",44,44,"Female","UW",1,"move",0.06,"M","V",3,"Italian","LWC",4,1,"labial","labial",332.041,1086.723
"35",47,47,"Female","IY",1,"meeny",0.14,"M","N",3,"Italian","LWC",2,1,"labial","coronal",409.094,1456.986
"36",48,48,"Female","IY",1,"meeny",0.14,"M","N",3,"Italian","LWC",4,1,"labial","coronal",405.187,1576.618
"37",49,49,"Female","IY",1,"screams",0.12,"R","M",3,"Italian","LWC",2,1,"coronal","labial",387.577,1551.794
"38",50,50,"Female","IY",1,"screams",0.12,"R","M",3,"Italian","LWC",4,1,"coronal","labial",388.598,1615.349
"39",51,51,"Female","EY",1,"potato",0.12,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",465.35,1381.019
"40",52,52,"Female","EY",1,"potato",0.12,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",446.117,1416.61
"41",55,55,"Female","EY",1,"potato",0.08,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",488.971,1402.852
"42",56,56,"Female","EY",1,"potato",0.08,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",442.511,1426.479
"43",57,57,"Female","IY",1,"three",0.05,"R","P",3,"Italian","LWC",2,6,"coronal","labial",368.584,1407.787
"44",58,58,"Female","IY",1,"three",0.05,"R","P",3,"Italian","LWC",4,6,"coronal","labial",344.062,1330.624
"45",59,59,"Female","EY",1,"potato",0.12,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",466.492,1383.113
"46",60,60,"Female","EY",1,"potato",0.12,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",476.289,1404.646
"47",61,61,"Female","AY",1,"five",0.13,"F","V",3,"Italian","LWC",2,2,"labial","labial",458.799,1192
"48",62,62,"Female","AY",1,"five",0.13,"F","V",3,"Italian","LWC",4,2,"labial","labial",512.411,1232.974
"49",63,63,"Female","EY",1,"potato",0.11,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",484.463,1382.066
"50",64,64,"Female","EY",1,"potato",0.11,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",485.725,1403.45
"51",65,65,"Female","EY",1,"potato",0.11,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",417.328,1276.49
"52",66,66,"Female","EY",1,"potato",0.11,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",353.919,1162.54
"53",67,67,"Female","EY",1,"potato",0.09,"T","T",3,"Italian","LWC",2,6,"coronal","coronal",421.475,1300.267
"54",68,68,"Female","EY",1,"potato",0.09,"T","T",3,"Italian","LWC",4,6,"coronal","coronal",372.37,1203.813
"55",71,71,"Female","IY",1,"people",0.12,"P","P",3,"Italian","LWC",2,4,"labial","labial",396.171,1442.779
"56",72,72,"Female","IY",1,"people",0.12,"P","P",3,"Italian","LWC",4,4,"labial","labial",350.433,1281.724
"57",73,73,"Female","IY",1,"three",0.06,"R","Y",3,"Italian","LWC",2,6,"coronal","coronal",356.383,1478.968
"58",74,74,"Female","IY",1,"three",0.06,"R","Y",3,"Italian","LWC",4,6,"coronal","coronal",354.88,1615.648
"59",75,75,"Female","UW",1,"tunes",0.16,"T","N",3,"Italian","LWC",2,1,"coronal","coronal",352.176,1266.321
"60",76,76,"Female","UW",1,"tunes",0.16,"T","N",3,"Italian","LWC",4,1,"coronal","coronal",359.929,1095.546
"61",77,77,"Female","UW",1,"movements",0.11,"M","V",3,"Italian","LWC",2,2,"labial","labial",326.271,1088.368
"62",78,78,"Female","UW",1,"movements",0.11,"M","V",3,"Italian","LWC",4,2,"labial","labial",332.221,1088.517
"63",81,81,"Female","IY",1,"real",0.05,"R","L",3,"Italian","LWC",2,1,"coronal","coronal",375.736,1393.58
